Société / Secteur,Année,Croissance CA (%),Résultat Net (M MAD),Endettement (Gearing / Solvabilité)
BCP,2023,"+10,2% (PNB)",4100,Conforme (Bâle III)
(Banque),2024 (P),"+6,5%",4550,Solide
,2025 (P),"+7,0%",4900,Solide
Akdital,2023,"+84,0%",200,Élevé (Investissements)
(Santé),2024 (P),"+45,0%",310,Maîtrisé
,2025 (P),"+35,0%",420,En amélioration
Marsa Maroc,2023,"+9,4%",850,Excédentaire (Trésorerie nette)
(Ports),2024 (P),"+7,8%",960,Très Faible
,2025 (P),"+8,2%",1050,Très Faible
Cosumar,2023,"+0,5%",820,Modéré
(Agroalimentaire),2024 (P),"+3,0%",880,Stable
,2025 (P),"+4,0%",940,Désendettement
TotalEnergies Mar.,2023,"-2,10%",850,Faible
(Énergie/Carburants),2024 (P),"+3,5%",920,Stable
,2025 (P),"+4,2%",980,Stable
Ciments du Maroc,2023,"+1,8%",910,Trésorerie positive
(Matériaux),2024 (P),"+4,0%",1020,Nul (Excédentaire)
,2025 (P),"+5,5%",1150,Nul (Excédentaire)
Douja Prom Addoha,2023,"+18,0%",45,En réduction
(Immobilier),2024 (P),"+12,0%",120,En amélioration
,2025 (P),"+15,0%",180,Modéré
Sodep-Marsa Maroc,2023,"+9,4%",852,Excellent
(Logistique),2024 (P),"+8,0%",940,Désendettement
,2025 (P),"+8,5%",1050,Trésorerie nette
Snep,2023,"-8,00%",-40 (Perte),Élevé
(Chimie),2024 (P),"+15,0%",35,Sous surveillance
,2025 (P),"+20,0%",75,En optimisation
Wafa Assurance,2023,"+9,2%",1050,Excellent (Marge solvabilité)
(Assurances),2024 (P),"+6,5%",1180,Très Solide
,2025 (P),"+7,0%",1290,Très Solide
HPS,2023,"+20,5%",120,Faible
(Technologie),2024 (P),"+18,0%",145,Nul (Cash-flow positif)
,2025 (P),"+22,0%",185,Nul (Cash-flow positif)
Auto Hall,2023,"-5,00%",135,Modéré
(Automobile),2024 (P),"+8,0%",165,Stable
,2025 (P),"+10,0%",195,En baisse
Mutandis,2023,"+21,0%",110,Élevé (Acquisitions)
(Consommation),2024 (P),"+12,0%",140,En optimisation
,2025 (P),"+15,0%",175,Maîtrisé
Alliances,2023,"+25,0%",170,En fort désendettement
(Immobilier),2024 (P),"+15,0%",210,Sain
,2025 (P),"+12,0%",245,Sain
Afriquia Gaz,2023,"-4,2% (effet prix)",905,Très Faible
(Distribution Gaz),2024 (P),"+3,5%",940,Excellent (Cash-cow)
,2025 (P),"+4,0%",985,Excellent
Sonasid,2023,"+2,0%",75,Désendetté
(Sidérurgie),2024 (P),"+6,0%",110,Trésorerie positive
,2025 (P),"+8,5%",145,Trésorerie positive
Lesieur Cristal,2023,"-12,0% (matières)",220,Modéré
(Agroalimentaire),2024 (P),"+5,5%",310,Stable
,2025 (P),"+6,2%",350,En baisse
SNEP,2023,"-8,50%",-42 (Déficit),Élevé (CAPEX)
(Chimie),2024 (P),"+15,0%",45 (Retour),Sous surveillance
,2025 (P),"+18,0%",85,En amélioration
Société Boissons du Maroc,2023,"+5,1%",340,Nul (Excédentaire)
(Boissons),2024 (P),"+4,2%",365,Cash-flow robuste
,2025 (P),"+4,8%",390,Cash-flow robuste
Jorf Lasfar (Taqa),2023,"-2,80%",1040,Dette de projet (Stable)
(Énergie),2024 (P),"+3,0%",1150,En désendettement
,2025 (P),"+3,5%",1210,Maîtrisé
Résidences Dar Saada,2023,"+10,5%",28,Élevé
(Immobilier),2024 (P),"+8,0%",45,Sous restructuration
,2025 (P),"+12,0%",65,En amélioration
Jet Contractors,2023,"+15,2%",35,Modéré
(BTP / Ingénierie),2024 (P),"+25,0%",72,En hausse (Nouveaux marchés)
,2025 (P),"+20,0%",95,Stable
Salafin,2023,"+4,1%",105,Propre au secteur financier
(Crédit conso),2024 (P),"+5,2%",125,Solide
,2025 (P),"+6,0%",140,Solide
Colorado,2023,"+3,5%",52,Très Faible
(Peinture),2024 (P),"+5,5%",60,Désendetté
